epoch_num,train_loss,valid_loss,train_acc,valid_acc,lr,epoch_time
1,1.3379939,1.6086955,0.5306222222222222,0.4444,9.981647e-05,288.9295082092285
2,1.0544661,1.645909,0.6393777777777778,0.458,9.963327e-05,304.3799936771393
3,0.8857192,1.8523624,0.6949333333333333,0.4642,9.9450415e-05,288.02327942848206
4,0.6640893,1.9774928,0.7790666666666667,0.4842,9.926789e-05,317.41479110717773
5,0.5444919,2.285992,0.8184444444444444,0.4816,9.90857e-05,310.1429331302643
6,0.46562847,2.4229548,0.8424222222222222,0.461,9.890385e-05,258.1187596321106
7,0.43449765,2.9110825,0.8505333333333334,0.4602,9.872234e-05,248.1794672012329
8,0.38955083,3.298318,0.8688666666666667,0.4652,9.8541146e-05,242.7179729938507
9,0.32749924,3.4523149,0.883,0.4674,9.8360295e-05,251.67275214195251
10,0.2629462,3.7655368,0.9139777777777778,0.4718,9.817977e-05,245.00292658805847
11,0.20463753,4.1847863,0.9329777777777778,0.4538,9.799959e-05,234.44093489646912
12,0.18606554,4.3588843,0.9427111111111112,0.4648,9.781973e-05,236.42201614379883
13,0.3172487,5.359719,0.9019555555555555,0.4582,9.764019e-05,251.065904378891
14,0.24951454,5.286281,0.9173333333333333,0.4276,9.7461e-05,250.99549889564514
15,0.23667613,5.445576,0.9210888888888888,0.43,9.728213e-05,307.0857446193695
