epoch_num,train_loss,valid_loss,train_acc,valid_acc,lr,epoch_time
1,1.3888069,1.7157693,0.5121333333333333,0.415,9.981647e-05,262.715722322464
2,1.1764634,1.8286716,0.5998,0.4056,9.963327e-05,384.0487082004547
3,0.9150104,2.0837514,0.6858888888888889,0.4134,9.9450415e-05,336.2030441761017
4,0.78442544,2.407158,0.7323111111111111,0.4222,9.926789e-05,324.9995379447937
5,0.6993316,2.883502,0.7633555555555556,0.4052,9.90857e-05,360.9012417793274
6,0.6052971,3.275359,0.7991555555555555,0.416,9.890385e-05,356.93582367897034
7,0.6414724,3.7609887,0.7897111111111111,0.3958,9.872234e-05,369.7167010307312
8,0.4946209,4.100994,0.8335555555555556,0.395,9.8541146e-05,331.64485263824463
9,0.4780906,4.2485805,0.8354666666666667,0.402,9.8360295e-05,344.43203377723694
10,0.38766792,4.706252,0.8732888888888889,0.4134,9.817977e-05,344.3043041229248
11,0.35534656,4.6425385,0.8824888888888889,0.4154,9.799959e-05,329.897940158844
12,0.34250793,5.4084997,0.8858888888888888,0.4004,9.781973e-05,341.9453139305115
13,0.3364036,6.1646366,0.8934,0.3828,9.764019e-05,356.71877789497375
14,0.33627996,6.7979746,0.8934888888888889,0.3706,9.7461e-05,342.64417338371277
15,0.39270085,7.6464486,0.8866666666666667,0.3844,9.728213e-05,342.6460545063019
