epoch_num,train_loss,valid_loss,train_acc,valid_acc,lr,epoch_time
1,nan,nan,0.10093333333333333,0.0962,9.981647e-05,298.2342040538788
2,nan,nan,0.09931111111111111,0.1024,9.963327e-05,354.12106919288635
3,nan,nan,0.09922222222222223,0.1,9.9450415e-05,364.4400236606598
4,nan,nan,0.09986666666666667,0.096,9.926789e-05,348.12081122398376
5,nan,nan,0.10102222222222222,0.0992,9.90857e-05,414.838255405426
6,nan,nan,0.09982222222222223,0.0986,9.890385e-05,408.4328501224518
7,nan,nan,0.09957777777777778,0.1048,9.872234e-05,395.4981119632721
8,nan,nan,0.1,0.1006,9.8541146e-05,466.64124298095703
9,nan,nan,0.10084444444444444,0.0916,9.8360295e-05,384.5613715648651
10,nan,nan,0.09975555555555556,0.1028,9.817977e-05,367.6834318637848
11,nan,nan,0.09875555555555555,0.1058,9.799959e-05,374.5771894454956
12,nan,nan,0.10048888888888889,0.0982,9.781973e-05,380.744136095047
13,nan,nan,0.10082222222222222,0.1024,9.764019e-05,371.1727252006531
14,nan,nan,0.09917777777777778,0.098,9.7461e-05,386.34159898757935
15,nan,nan,0.1004,0.1034,9.728213e-05,324.8981556892395
