epoch_num,train_loss,valid_loss,train_acc,valid_acc,lr,epoch_time
1,nan,nan,0.1,0.107,9.981647e-05,698.9910485744476
2,nan,nan,0.10055555555555555,0.1022,9.963327e-05,649.0744888782501
3,nan,nan,0.0996,0.0996,9.9450415e-05,641.450522184372
4,nan,nan,0.10017777777777778,0.1008,9.926789e-05,633.8569829463959
5,nan,nan,0.09915555555555555,0.1022,9.90857e-05,637.6924767494202
6,nan,nan,0.10064444444444444,0.1008,9.890385e-05,642.0375990867615
7,nan,nan,0.10053333333333334,0.094,9.872234e-05,628.4859216213226
8,nan,nan,0.09931111111111111,0.0986,9.8541146e-05,634.0441572666168
9,nan,nan,0.10024444444444444,0.1008,9.8360295e-05,638.5030941963196
10,nan,nan,0.09937777777777777,0.1018,9.817977e-05,623.7774662971497
11,nan,nan,0.10015555555555555,0.098,9.799959e-05,638.0608131885529
12,nan,nan,0.1004,0.1024,9.781973e-05,638.3843891620636
13,nan,nan,0.10086666666666666,0.0966,9.764019e-05,640.9272966384888
14,nan,nan,0.09875555555555555,0.0982,9.7461e-05,631.5757541656494
15,nan,nan,0.10022222222222223,0.097,9.728213e-05,638.3946375846863
